features_id,features,propertyType,zoning
107,"{""architectureType"": ""2+ Story"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""poolType"": ""Pool and Hot Tub / Spa"", ""roofType"": ""Tile"", ""roomCount"": 9, ""unitCount"": 1}",Single Family,Unknown
108,"{""garage"": true, ""garageType"": ""Attached""}",Single Family,Unknown
109,"{""architectureType"": ""Condo / Apartment"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""roomCount"": 5, ""unitCount"": 1}",Condo,Unknown
110,"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,R12
111,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Raised"", ""garage"": true, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 11, ""unitCount"": 1}",Duplex-Triplex,RU-1
112,"{""floorCount"": 1, ""roofType"": ""Roll Tar & Gravel"", ""unitCount"": 1}",Single Family,Unknown
113,"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,RD-5
114,"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Composition"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 10, ""unitCount"": 1}",Single Family,RL3
115,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Other"", ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Tile"", ""unitCount"": 1}",Single Family,Unknown
116,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown
117,"{""exteriorType"": ""OTHER"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,68
118,"{""architectureType"": ""Bungalow"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick / Stone"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Detached"", ""roofType"": ""Shingle"", ""unitCount"": 1}",Single Family,Unknown
119,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Commercial"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Condo,Unknown
120,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Other"", ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Tile"", ""unitCount"": 1}",Single Family,Unknown
121,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""roofType"": ""Composition Shingle""}",Single Family,MPUD
122,"{""architectureType"": ""Bungalow"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""floorCount"": 2, ""foundationType"": ""Stone"", ""garage"": true, ""garageType"": ""Built-in"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6}",Single Family,R-1
123,"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,Unknown
124,"{""architectureType"": ""European"", ""exteriorType"": ""Metal"", ""unitCount"": 1}",Manufactured,RH-4.5
125,"{""unitCount"": 1}",Single Family,Unknown
126,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""roomCount"": 8, ""unitCount"": 1}",Single Family,Unknown
127,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,Unknown
128,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 5, ""unitCount"": 1}",Condo,R
129,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
130,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle""}",Single Family,R4-RESIDENTIAL SINGLE FAM
131,"{""floorCount"": 1}",Single Family,Unknown
132,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""foundationType"": ""Block"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Composition Shingle"", ""roomCount"": 8, ""unitCount"": 1, ""fireplace"": true}",Single Family,RS-25
133,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Vinyl"", ""floorCount"": 1, ""foundationType"": ""Stone"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown
134,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Built-in"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Tile"", ""roomCount"": 6, ""pool"": true, ""poolType"": ""Pool and Hot Tub / Spa""}",Single Family,Unknown
135,"{""floorCount"": 1, ""heating"": true, ""heatingType"": ""Floor / Wall"", ""unitCount"": 1}",Single Family,LAR2
136,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""foundationType"": ""Pier / Post & Beam"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
137,"{""architectureType"": ""Colonial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Asphalt"", ""roomCount"": 7}",Single Family,R1A
138,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Gas"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown
139,"{""architectureType"": ""Colonial"", ""exteriorType"": ""Other"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,AR
140,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 4, ""unitCount"": 1}",Single Family,EMP
141,"{""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""unitCount"": 1}",Single Family,MUNICIPAL
142,"{""architectureType"": ""Bungalow"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Basement"", ""heating"": true, ""heatingType"": ""Steam"", ""roofType"": ""Asphalt"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,RS-7
143,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown
144,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Electric"", ""roofType"": ""Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
145,"{""architectureType"": ""Condo / Apartment""}",Condo,Unknown
146,"{""architectureType"": ""Townhouse"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stone"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,TRC
147,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,Unknown
148,"{""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""roomCount"": 3}",Single Family,R-2;GENERAL RES DISTR
149,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown
150,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,Unknown
151,"{""architectureType"": ""Split Level"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Baseboard"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,R-5A
152,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""OTHER"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5}",Single Family,Unknown
153,"{""architectureType"": ""Mobile Home"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""foundationType"": ""Pier / Post & Beam"", ""garage"": true, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Shingle""}",Manufactured,Unknown
154,"{""cooling"": true, ""exteriorType"": ""Brick / Stone"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1, ""coolingType"": ""Commercial"", ""foundationType"": ""Slab / Mat / Raft""}",Single Family,R1
155,"{""cooling"": true, ""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 8, ""unitCount"": 1, ""coolingType"": ""Commercial""}",Single Family,01A
156,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Adobe"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown
157,"{""unitCount"": 1, ""architectureType"": ""Condo / Apartment""}",Condo,Unknown
158,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""foundationType"": ""Crawl / Raised"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Metal""}",Duplex-Triplex,Unknown
159,"{""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""pool"": true, ""unitCount"": 1}",Single Family,R-1:SINGLE FAM-RES
160,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Composition Shingle"", ""roomCount"": 4, ""unitCount"": 1}",Condo,RR
161,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,R1
162,"{""floorCount"": 1, ""garage"": true, ""garageType"": ""Mixed"", ""unitCount"": 1}",Single Family,Unknown
163,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Vinyl"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 13, ""unitCount"": 1}",Single Family,Unknown
164,"{""cooling"": true, ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""roofType"": ""Composition Shingle"", ""coolingType"": ""Commercial""}",Single Family,Unknown
165,"{""exteriorType"": ""Wood Shingle"", ""floorCount"": 2, ""foundationType"": ""Stone"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
166,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 5, ""unitCount"": 1}",Condo,10R-6
167,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Radiant"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
168,"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,PD
169,"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Gas"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,Unknown
170,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,ER
171,"{""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,R-1:SINGLE FAM-RES
172,"{""architectureType"": ""Condo / Apartment""}",Condo,5000:HOTELS&MOTELS-GEN
173,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""foundationType"": ""Block with Runner"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,R20
174,"{""architectureType"": ""Townhouse"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Condo,R15
175,"{""architectureType"": ""Traditional"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,02 - SINGLE RESIDENCE
176,"{""exteriorType"": ""Stucco"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Tile"", ""unitCount"": 1, ""cooling"": true, ""coolingType"": ""Commercial"", ""floorCount"": 1}",Single Family,RPD
177,"{""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,A-PD
178,"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,Unknown
179,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""floorCount"": 2, ""foundationType"": ""Block"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 3}",Single Family,R2_DC
180,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,R-1A
181,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Commercial"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 4, ""unitCount"": 1}",Single Family,RU-5
182,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 6}",Single Family,Unknown
183,"{""cooling"": true, ""coolingType"": ""Package"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""foundationType"": ""Footing"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""roofType"": ""Composition Shingle""}",Single Family,OPUD
184,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Heat Pump""}",Single Family,R6
185,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Central""}",Condo,R-3
186,"{""architectureType"": ""Ranch / Rambler"", ""cooling"": true, ""coolingType"": ""Commercial"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""pool"": true, ""poolType"": ""Pool and Hot Tub / Spa"", ""roomCount"": 4, ""unitCount"": 1}",Single Family,R
187,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Siding"", ""foundationType"": ""Pier"", ""garage"": true, ""garageType"": ""Carport"", ""unitCount"": 1}",Land,Unknown
188,"{""floorCount"": 2, ""unitCount"": 1}",Single Family,RMF-6
189,"{""architectureType"": ""Traditional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Baseboard"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown
190,"{""architectureType"": ""A-Frame"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Vinyl"", ""fireplace"": true, ""fireplaceType"": ""2 Story"", ""floorCount"": 2, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""roofType"": ""Asphalt"", ""roomCount"": 12}",Single Family,Unknown
191,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Tile""}",Single Family,RPD
192,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Package"", ""exteriorType"": ""Metal"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Floor / Wall"", ""roofType"": ""Asphalt"", ""roomCount"": 10, ""unitCount"": 1}",Single Family,Unknown
193,"{""cooling"": true, ""coolingType"": ""Commercial"", ""floorCount"": 1, ""unitCount"": 1}",Single Family,LAR2
194,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Combination"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 4, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,R-10
195,"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""exteriorType"": ""Wood"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Concrete Tile"", ""roomCount"": 7}",Single Family,PC
196,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,Unknown
197,"{""cooling"": true, ""coolingType"": ""Wall"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""foundationType"": ""Concrete"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Electric"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Land,Unknown
198,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,Unknown
199,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""fireplace"": true, ""fireplaceType"": ""2 Story"", ""floorCount"": 2, ""foundationType"": ""Footing"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,LDR
200,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 2, ""foundationType"": ""Retaining Wall"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Tile"", ""unitCount"": 1}",Condo,Unknown
201,"{""cooling"": true, ""coolingType"": ""Commercial"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown
202,"{""architectureType"": ""Condo / Apartment""}",Single Family,Unknown
203,"{""architectureType"": ""Townhouse"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""floorCount"": 3, ""heating"": true, ""roomCount"": 6, ""heatingType"": ""Gravity""}",Single Family,M2
204,"{""architectureType"": ""Mobile Home"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Vinyl"", ""foundationType"": ""Block"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""floorCount"": 1}",Manufactured,RM
205,"{""architectureType"": ""English"", ""cooling"": true, ""coolingType"": ""Commercial"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 22, ""unitCount"": 1}",Single Family,BHR1*
206,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""roofType"": ""Other"", ""roomCount"": 2, ""unitCount"": 1}",Condo,MUI-A
207,"{""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,R3-2
208,"{""cooling"": true, ""coolingType"": ""Evaporative Cooler"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached Garage"", ""heating"": true, ""pool"": true, ""poolType"": ""Pool and Hot Tub / Spa"", ""roofType"": ""Tile"", ""unitCount"": 1}",Single Family,R3
209,"{""architectureType"": ""Conventional"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Floor / Wall"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,LAR1
210,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Combination"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Footing"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Asphalt""}",Single Family,Unknown
