sales_id,lastSalePrice,lastSaleDate
117,500000.0,2024-06-18T00:00:00.000Z
118,197500.0,2017-06-27T00:00:00.000Z
119,273728.0,2009-12-15T00:00:00.000Z
120,229000.0,2024-03-11T00:00:00.000Z
121,444000.0,2019-07-01T00:00:00.000Z
122,700000.0,2020-07-21T00:00:00.000Z
123,263000.0,2021-07-15T00:00:00.000Z
124,158500.0,2023-05-08T00:00:00.000Z
125,115000.0,1998-09-25T00:00:00.000Z
126,130000.0,2015-07-02T00:00:00.000Z
127,74000.0,2011-10-06T00:00:00.000Z
128,185000.0,2015-06-08T00:00:00.000Z
129,227000.0,2006-03-13T00:00:00.000Z
130,0.0,1999-06-21T00:00:00.000Z
131,0.0,2015-09-29T00:00:00.000Z
132,64000.0,2001-10-04T00:00:00.000Z
133,414700.0,2020-09-01T00:00:00.000Z
134,29000.0,2014-10-30T00:00:00.000Z
135,0.0,1997-10-24T00:00:00.000Z
136,155000.0,2024-03-25T00:00:00.000Z
137,151500.0,2024-04-10T00:00:00.000Z
138,300000.0,2013-10-15T00:00:00.000Z
139,300000.0,2021-02-15T00:00:00.000Z
140,202300.0,2008-01-08T00:00:00.000Z
141,0.0,2018-04-07T00:00:00.000Z
142,0.0,2019-10-15T00:00:00.000Z
143,0.0,2019-04-04T00:00:00.000Z
144,75000.0,2021-10-05T00:00:00.000Z
145,45000.0,2023-06-12T00:00:00.000Z
146,159900.0,2015-03-16T00:00:00.000Z
147,154000.0,2013-12-28T00:00:00.000Z
148,202500.0,2015-12-29T00:00:00.000Z
149,490500.0,2021-07-30T00:00:00.000Z
150,1125000.0,2022-01-04T00:00:00.000Z
151,110000.0,2011-06-28T00:00:00.000Z
152,237000.0,2016-08-03T00:00:00.000Z
153,185000.0,2022-04-28T00:00:00.000Z
154,136500.0,2001-03-09T00:00:00.000Z
155,265000.0,2009-09-25T00:00:00.000Z
156,1128000.0,2022-04-04T00:00:00.000Z
157,240000.0,2014-02-05T00:00:00.000Z
158,264000.0,2015-06-19T00:00:00.000Z
159,144500.0,2001-10-05T00:00:00.000Z
160,0.0,2015-05-19T00:00:00.000Z
161,0.0,2018-12-20T00:00:00.000Z
162,206000.0,2018-06-29T00:00:00.000Z
163,915000.0,2015-03-23T00:00:00.000Z
164,130000.0,2021-10-26T00:00:00.000Z
165,47000.0,2017-04-13T00:00:00.000Z
166,0.0,2022-08-24T00:00:00.000Z
167,135200.0,2006-05-23T00:00:00.000Z
168,45000.0,1998-06-26T00:00:00.000Z
169,3000000.0,2010-06-30T00:00:00.000Z
170,342000.0,2020-01-22T00:00:00.000Z
171,1235000.0,2015-06-18T00:00:00.000Z
172,75000.0,2011-07-27T00:00:00.000Z
173,0.0,2005-08-03T00:00:00.000Z
174,325000.0,2019-07-24T00:00:00.000Z
175,12000.0,2021-09-15T00:00:00.000Z
